Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
984;40.15453402;-5.329040271;Tietar;12044.17678;312.205;1065.479;25;0.052320508;111
985;40.58873764;-5.433099505;Tormes;26055.90925;222.542;110.473;70;-0.10830127;0
986;40.16117981;-5.3259338;Tietar;11799.17678;312.04;448.339;25;0.028660254;111
987;40.12537726;-5.320231048;Tietar;11763.36303;312.436;11609.458;21;0.099641016;36
988;40.26489202;-5.331923757;Tormes;17315.90925;291.427;143.602;33;-0.089641016;0
989;40.27587679;-5.332353108;Tormes;18220.46976;287.581;385.558;22;-0.130621778;0
990;40.27578217;-5.332400386;Tormes;18215.45543;287.581;101.961;22;-0.130621778;0
991;40.15897909;-5.318850923;Tietar;11184.56406;312.277;1075.051;26;0.027320508;106
992;40.13542819;-5.312111571;Tietar;10822.4061;312.592;10415.877;25;0.070980762;117
993;40.1482342;-5.312547925;Tietar;10665.47601;312.551;613.891;27;0.037320508;115
994;40.13999977;-5.309850144;Tietar;10541.6076;312.599;1025.118;25;0.070980762;128
995;40.18708983;-5.313414572;Tietar;11289.34324;311.013;169.806;16;-0.045980762;9
996;40.1635518;-5.311000747;Tietar;10549.80012;312.248;617.06;25;-0.008660254;88
997;40.23671161;-5.315643736;Tietar;14183.08518;304.634;118.57;31;-0.08330127;0
998;40.18847555;-5.311286101;Tietar;11167.73872;311.045;477.43;16;-0.045980762;7
999;40.16420777;-5.309003041;Tietar;10387.22695;312.251;5791.115;25;0.005;88
1000;40.12723302;-5.303764429;Tietar;10360.02766;312.524;450.527;24;0.073660254;100
1001;40.12718235;-5.302538431;Tietar;10262.00416;312.521;231.713;24;0.073660254;106
